source,source_label,target,target_label,raw_output
http://purl.bioontology.org/ontology/MESH/D005506,Food Contamination,http://purl.obolibrary.org/obo/FOODON_03420116,organism material,"{""related"": ""yes"", ""relationship"": ""Food contamination can originate from organism material.""}"
http://purl.bioontology.org/ontology/MESH/D005506,Food Contamination,http://purl.obolibrary.org/obo/ONS_1000019,diet by food organism,"{""related"": ""no"", ""relationship"": """"}"
http://purl.bioontology.org/ontology/MESH/D005506,Food Contamination,http://purl.obolibrary.org/obo/ONS_1000043,gluten free diet,"{""related"": ""yes"", ""relationship"": ""Food contamination can affect a gluten free diet.""}"
http://purl.bioontology.org/ontology/MESH/D005515,Food Labeling,http://purl.obolibrary.org/obo/FOODON_00003194,vegetarian food material,"{""related"": ""yes"", ""relationship"": ""Food labeling includes information about vegetarian food material.""}"
http://purl.bioontology.org/ontology/MESH/D005515,Food Labeling,http://purl.obolibrary.org/obo/FOODON_03420164,animal material,"{""related"": ""yes"", ""relationship"": ""Food labeling includes information about animal material.""}"
http://purl.bioontology.org/ontology/MESH/D005515,Food Labeling,http://purl.obolibrary.org/obo/ONS_1000036,ketogenic diet,"{""related"": ""yes"", ""relationship"": ""food labeling is used on ketogenic diet products""}"
http://purl.bioontology.org/ontology/MESH/D005515,Food Labeling,http://purl.obolibrary.org/obo/ONS_1000066,rural diet,"{""related"": ""yes"", ""relationship"": ""Food labeling informs consumers about a rural diet.""}"
http://purl.bioontology.org/ontology/MESH/D005524,Food Technology,http://purl.obolibrary.org/obo/FOODON_00001002,food product,"{""related"": ""yes"", ""relationship"": ""Food technology improves food product.""}"
http://purl.bioontology.org/ontology/MESH/D005524,Food Technology,http://purl.obolibrary.org/obo/FOODON_00004242,animal food product,"{""related"": ""yes"", ""relationship"": ""Food technology applies to animal food product.""}"
http://purl.bioontology.org/ontology/MESH/D005524,Food Technology,http://purl.obolibrary.org/obo/FOODON_03420116,organism material,"{""related"": ""no"", ""relationship"": """"}"
http://purl.bioontology.org/ontology/MESH/D005524,Food Technology,http://purl.obolibrary.org/obo/ONS_1000019,diet by food organism,"{""related"": ""yes"", ""relationship"": ""food technology is applied to diet by food organism""}"
http://purl.bioontology.org/ontology/MESH/D005524,Food Technology,http://purl.obolibrary.org/obo/ONS_1000028,non-pork diet,"{""related"": ""no"", ""relationship"": """"}"
http://purl.bioontology.org/ontology/MESH/D007221,Industry,http://purl.obolibrary.org/obo/FOODON_00001248,fish food product,"```json
{
 ""related"": ""yes"",
	""relationship"": ""The industry produces fish food products.""
}
```"
http://purl.bioontology.org/ontology/MESH/D007221,Industry,http://purl.obolibrary.org/obo/ONS_1000021,vegan diet,"{""related"": ""yes"", ""relationship"": ""Industry includes the vegan diet sector.""}"
http://purl.bioontology.org/ontology/MESH/D007221,Industry,http://purl.obolibrary.org/obo/ONS_1000026,pescetarian diet,"{""related"": ""yes"", ""relationship"": ""Industry produces pescetarian diet products.""}"
