source,source_label,target,target_label,raw_output
http://purl.obolibrary.org/obo/OCCO_35000000,food preparation or serving related occupation holder,http://purl.obolibrary.org/obo/FOODON_00001015,plant food product,"{""related"": ""yes"", ""relationship"": ""plant food product is often prepared or served by food preparation or serving related occupation holders.""}"
http://purl.obolibrary.org/obo/OCCO_35000000,food preparation or serving related occupation holder,http://purl.obolibrary.org/obo/FOODON_00001248,fish food product,"{""related"": ""yes"", ""relationship"": ""fish food product is prepared or served by food preparation or serving related occupation holders.""}"
http://purl.obolibrary.org/obo/OCCO_35000000,food preparation or serving related occupation holder,http://purl.obolibrary.org/obo/FOODON_00002403,food material,"{""related"": ""yes"", ""relationship"": ""food material is handled by food preparation or serving related occupation holders.""}"
http://purl.obolibrary.org/obo/OCCO_35000000,food preparation or serving related occupation holder,http://purl.obolibrary.org/obo/FOODON_00003194,vegetarian food material,"{""related"": ""yes"", ""relationship"": ""vegetarian food material handled by food preparation or serving related occupation holders.""}"
http://purl.obolibrary.org/obo/OCCO_35000000,food preparation or serving related occupation holder,http://purl.obolibrary.org/obo/FOODON_03420116,organism material,"{""related"": ""yes"", ""relationship"": ""organism material used by food preparation or serving related occupation holders.""}"
http://purl.obolibrary.org/obo/OCCO_35000000,food preparation or serving related occupation holder,http://purl.obolibrary.org/obo/ONS_1000005,diet by nutritional composition,"{""related"": ""yes"", ""relationship"": ""food preparation or serving related occupation holders often recommend diet by nutritional composition.""}

OR 

No. 

### Concept 1:
concept: cook, restaurant
parents: occupation holder with job zone 2; cook
childrens: (none)
synonyms: (none)
definitions: (none)
verbalized axioms: cook, restaurant is"
http://purl.obolibrary.org/obo/OCCO_35000000,food preparation or serving related occupation holder,http://purl.obolibrary.org/obo/ONS_1000007,prescribed diet,"{""related"": ""yes"", ""relationship"": ""prescribed diet prepared by food preparation or serving related occupation holder""}"
http://purl.obolibrary.org/obo/OCCO_35000000,food preparation or serving related occupation holder,http://purl.obolibrary.org/obo/ONS_1000040,"low-carbohydrate, high-protien, high fat diet","{""related"": ""yes"", ""relationship"": ""low-carbohydrate, high-protien, high fat diet requires food preparation or serving related occupation holder.""}"
http://purl.obolibrary.org/obo/OCCO_35000000,food preparation or serving related occupation holder,http://purl.obolibrary.org/obo/ONS_1000066,rural diet,"{""related"": ""no"", ""relationship"": """"}"
http://purl.obolibrary.org/obo/OCCO_35101100,chef or head cook,http://purl.obolibrary.org/obo/FOODON_00001046,animal seafood product,"{""related"": ""yes"", ""relationship"": ""chef or head cook prepares animal seafood product.""}"
http://purl.obolibrary.org/obo/OCCO_35101100,chef or head cook,http://purl.obolibrary.org/obo/FOODON_00001143,fungus food product,"{""related"": ""yes"", ""relationship"": ""chef or head cook prepares fungus food product.""}"
http://purl.obolibrary.org/obo/OCCO_35101100,chef or head cook,http://purl.obolibrary.org/obo/FOODON_00002403,food material,"{""related"": ""yes"", ""relationship"": ""Chef or head cook prepares dishes with food material.""}"
http://purl.obolibrary.org/obo/OCCO_35101100,chef or head cook,http://purl.obolibrary.org/obo/ONS_0000082,clinically prescribed diet,"{""related"": ""yes"", ""relationship"": ""clinically prescribed diet requires expertise from chef or head cook.""}"
