source,source_label,target,target_label,raw_output
http://purl.obolibrary.org/obo/OCCO_35000000,food preparation or serving related occupation holder,http://purl.obolibrary.org/obo/FOODON_00001015,plant food product,"{""related"": ""yes"", ""relationship"": ""plant food product is often handled by food preparation or serving related occupation holder.""}"
http://purl.obolibrary.org/obo/OCCO_35000000,food preparation or serving related occupation holder,http://purl.obolibrary.org/obo/FOODON_00001248,fish food product,"{""related"": ""yes"", ""relationship"": ""fish food product is typically handled by the food preparation or serving related occupation holder.""}"
http://purl.obolibrary.org/obo/OCCO_35000000,food preparation or serving related occupation holder,http://purl.obolibrary.org/obo/FOODON_00002403,food material,"{""related"": ""yes"", ""relationship"": ""food material is handled by the food preparation or serving related occupation holder.""}"
http://purl.obolibrary.org/obo/OCCO_35000000,food preparation or serving related occupation holder,http://purl.obolibrary.org/obo/FOODON_00003194,vegetarian food material,"{""related"": ""yes"", ""relationship"": ""vegetarian food material is handled by the food preparation or serving related occupation holder.""}"
http://purl.obolibrary.org/obo/OCCO_35000000,food preparation or serving related occupation holder,http://purl.obolibrary.org/obo/FOODON_03420116,organism material,"{""related"": ""yes"", ""relationship"": ""organism material is handled by a food preparation or serving related occupation holder.""}"
http://purl.obolibrary.org/obo/OCCO_35000000,food preparation or serving related occupation holder,http://purl.obolibrary.org/obo/ONS_1000005,diet by nutritional composition,"{""related"": ""no"", ""relationship"": """"}"
http://purl.obolibrary.org/obo/OCCO_35000000,food preparation or serving related occupation holder,http://purl.obolibrary.org/obo/ONS_1000007,prescribed diet,"{""related"": ""yes"", ""relationship"": ""prescribed diet are managed by food preparation or serving related occupation holder.""}"
http://purl.obolibrary.org/obo/OCCO_35000000,food preparation or serving related occupation holder,http://purl.obolibrary.org/obo/ONS_1000040,"low-carbohydrate, high-protien, high fat diet","{""related"": ""yes"", ""relationship"": ""food preparation or serving related occupation holder is likely to recommend a low-carbohydrate, high-protien, high fat diet.""}"
http://purl.obolibrary.org/obo/OCCO_35000000,food preparation or serving related occupation holder,http://purl.obolibrary.org/obo/ONS_1000066,rural diet,"{""related"": ""no"", ""relationship"": """"}"
http://purl.obolibrary.org/obo/OCCO_35101100,chef or head cook,http://purl.obolibrary.org/obo/FOODON_00001046,animal seafood product,"{""related"": ""no"", ""relationship"": """"}"
http://purl.obolibrary.org/obo/OCCO_35101100,chef or head cook,http://purl.obolibrary.org/obo/FOODON_00001143,fungus food product,"{""related"": ""yes"", ""relationship"": ""chef or head cook use fungus food product.""}"
http://purl.obolibrary.org/obo/OCCO_35101100,chef or head cook,http://purl.obolibrary.org/obo/FOODON_00002403,food material,"{""related"": ""yes"", ""relationship"": ""food material is prepared by the chef or head cook.""}"
http://purl.obolibrary.org/obo/OCCO_35101100,chef or head cook,http://purl.obolibrary.org/obo/ONS_0000082,clinically prescribed diet,"{""related"": ""yes"", ""relationship"": ""clinically prescribed diet are prepared by the chef or head cook.""}"
http://purl.obolibrary.org/obo/OCCO_35101100,chef or head cook,http://purl.obolibrary.org/obo/ONS_1000052,halal diet,"{""related"": ""yes"", ""relationship"": ""chef or head cook recommends a halal diet.""}"
http://purl.obolibrary.org/obo/OCCO_35101100,chef or head cook,http://purl.obolibrary.org/obo/ONS_1000066,rural diet,"{""related"": ""yes"", ""relationship"": ""Chef or head cook modifies rural diet.""}"
http://purl.obolibrary.org/obo/OCCO_35201000,cook,http://purl.obolibrary.org/obo/FOODON_00001046,animal seafood product,"{""related"": ""no"", ""relationship"": """"}"
http://purl.obolibrary.org/obo/OCCO_35201000,cook,http://purl.obolibrary.org/obo/FOODON_00002403,food material,"{""related"": ""yes"", ""relationship"": ""food material is prepared by the cook.""}"
http://purl.obolibrary.org/obo/OCCO_35201000,cook,http://purl.obolibrary.org/obo/ONS_1000019,diet by food organism,"{""related"": ""yes"", ""relationship"": ""a cook prepares diet by food organism.""}"
http://purl.obolibrary.org/obo/OCCO_35201000,cook,http://purl.obolibrary.org/obo/ONS_1000028,non-pork diet,"{""related"": ""yes"", ""relationship"": ""cook may prepare food for those following a non-pork diet.""}"
http://purl.obolibrary.org/obo/OCCO_35201000,cook,http://purl.obolibrary.org/obo/ONS_1000066,rural diet,"{""related"": ""no"", ""relationship"": """"}"
http://purl.obolibrary.org/obo/OCCO_35201200,"cook, institution or cafeteria",http://purl.obolibrary.org/obo/ONS_0000082,clinically prescribed diet,"{""related"": ""yes"", ""relationship"": ""clinically prescribed diet are apply at cook institution or cafeteria.""}"
http://purl.obolibrary.org/obo/OCCO_35201400,"cook, restaurant",http://purl.obolibrary.org/obo/FOODON_00001002,food product,"{""related"": ""yes"", ""relationship"": ""cook, restaurant prepares food product.""}"
http://purl.obolibrary.org/obo/OCCO_35201400,"cook, restaurant",http://purl.obolibrary.org/obo/ONS_1000001,diet,"{""related"": ""yes"", ""relationship"": ""a cook, restaurant follows a diet.""}"
http://purl.obolibrary.org/obo/OCCO_35201400,"cook, restaurant",http://purl.obolibrary.org/obo/ONS_1000007,prescribed diet,"{""related"": ""yes"", ""relationship"": ""a cook restaurant often serves a prescribed diet.""}"
http://purl.obolibrary.org/obo/OCCO_35300000,food or beverage serving worker,http://purl.obolibrary.org/obo/FOODON_00001143,fungus food product,"{""related"": ""yes"", ""relationship"": ""fungus food product is served by food or beverage serving worker.""}"
http://purl.obolibrary.org/obo/OCCO_35300000,food or beverage serving worker,http://purl.obolibrary.org/obo/FOODON_00002403,food material,"{""related"": ""yes"", ""relationship"": ""food material is handled by food or beverage serving worker.""}"
http://purl.obolibrary.org/obo/OCCO_35300000,food or beverage serving worker,http://purl.obolibrary.org/obo/FOODON_00004242,animal food product,"{""related"": ""yes"", ""relationship"": ""animal food product is often served by food or beverage serving worker.""}"
http://purl.obolibrary.org/obo/OCCO_35300000,food or beverage serving worker,http://purl.obolibrary.org/obo/ONS_1000007,prescribed diet,"{""related"": ""yes"", ""relationship"": ""food or beverage serving worker provides prescribed diet.""}"
http://purl.obolibrary.org/obo/OCCO_35300000,food or beverage serving worker,http://purl.obolibrary.org/obo/ONS_1000040,"low-carbohydrate, high-protien, high fat diet","{""related"": ""yes"", ""relationship"": ""food or beverage serving worker prepares low-carbohydrate, high-protien, high fat diet.""}"
http://purl.obolibrary.org/obo/OCCO_35301100,bartender,http://purl.obolibrary.org/obo/FOODON_00002403,food material,"{""related"": ""yes"", ""relationship"": ""bartender handles food material.""}"
http://purl.obolibrary.org/obo/OCCO_35301100,bartender,http://purl.obolibrary.org/obo/FOODON_00003194,vegetarian food material,"{""related"": ""yes"", ""relationship"": ""vegetarian food material can be served by a bartender.""}"
http://purl.obolibrary.org/obo/OCCO_35301100,bartender,http://purl.obolibrary.org/obo/FOODON_03420116,organism material,"{""related"": ""no"", ""relationship"": """"} ```json
{""related"": ""no"", ""relationship"": """"}```"
http://purl.obolibrary.org/obo/OCCO_35303100,waiter or waitress,http://purl.obolibrary.org/obo/FOODON_00001002,food product,"{""related"": ""yes"", ""relationship"": ""waiter or waitress serves food product.""}"
http://purl.obolibrary.org/obo/OCCO_35303100,waiter or waitress,http://purl.obolibrary.org/obo/FOODON_00001184,algae material,"{""related"": ""no"", ""relationship"": """"}"
